Course Code,Course Name,L,T,P,S,C,Faculty,Classroom
CS307,Machine Learning,3,0,2,0,4,Dr. Girish GN,C304
B1,Deep Learning for Computer Vision/Large Languange Models/Natural Language Processing/Deep Speech Processing/CMOS RF Circuit Design,3,1,0,0,4,Chinmayanand/Dr. Sunil S/Dr. Krishnendu/Dr. Pankaj Kumar and Dr. Rajesh Kumar/Prof. SRM Prasanna,C302/C004/C303/-/C305
B2,Blockchain Technology/Introduction to 5G Network/Model Checking/Quantum Communication/Quantum HPC and AI/Design Thinking and Innovation,3,1,0,0,4, Dr. Rajendra H/Dr. Jagadeesha R Bhat/Dr. Pavan/Dr. Aswath B/Dr. Manish M (Dr. Aswath)/Dr. Sandesh P,C302/C303/C305/C304/online/C204
B3,Automotive Embedded and Multimedia Systems/Microwave Engineering/Computer Graphics/Machine learning/Virtualization and Cloud Computing,3,1,0,0,4,Mr. Jagadeesh K (Dr Sibasankar Padhy)/Dr. Somen/Dr. Vivekraj V K/Dr. Deepak KT/Dr Malay,-/-/C303/-/C002
B4,Data Analytics and Visualization/Statistics for Health Technology/Medical Image Analysis/Bioinformatics,3,1,0,0,4,Dr. Sunil CK/Dr. Ramesh Athe/Dr. Girish GN/Dr. Sunil Kumar PV,C002/C002/C303/C304/C305
Mini Project 1,Mini Project 1,0,0,0,8,2,Pramod Yelmewad and Animesh Roy,-
