Course Code,Course Name,L,T,P,S,C,Faculty,Classroom
MA202,Linear Algebra,3,1,0,0,4,Dr. Anand Barangi,C104
CS206,Theory of Computing,3,1,0,0,4,Dr. Pavan,C104
CS204,Operating Systems,3,1,0,0,4,Dr. Suvadeep,C104
CS301,Software Engineering,3,1,0,0,4,Dr. Vivekraj,C104
CS310,Database Management Systems,3,1,2,0,5,Dr. Pramod,C104
HS205,Ethics,3,0,0,0,3,"Dr. Jolly Thomas, IIT Dharwad",C004
